Candidate_ID,Resume_title,Resume_title_relation_to_JD,Education,Field_of_study,Years_of_experience,Previous_job_titles,Skills,Certifications,Projects,Location,Expected_salary,Job_ID,Job_title,Category,Required_skills,Required_experience,Salary_range_NPR,Summary,Responsibilities,Preferred_qualifications,Education_requirement,Employment_type,Primary_location,Title_variations_for_bias_testing,Notes,Technical_score,Experience_score,Education_score,Softskills_score,Overall_score,Selection_recommendation
SE-JD1-11,Application Developer,adjacent,Bachelor's,Software Engineering,3,Java Developer; Associate Software Engineer,Java; Spring; SQL; Git; Docker; REST; MySQL,Power BI DA-100; Jenkins (course),Platform Spring; Pipeline Spring,Lalitpur,72000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,91,54,78,78,77.9,Shortlist
SE-JD1-12,Java Developer,exact_or_related,Bachelor's,Electronics and Communication,5,Programmer; Software Developer,Java; Spring; SQL; Git; Docker; REST; Kafka,Meta Front-End Cert; Oracle Java SE 8,System SQL; System SQL,Bhaktapur,87000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,61,72,78,86,70.1,Shortlist
SE-JD1-13,Software Engineer,exact_or_related,Master's,Information Technology,10,Backend Engineer; Programmer,Java; Spring; SQL; Git; Docker; REST,WordPress (course); Terraform Associate,Gateway Spring; System Spring,Itahari,107000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,62,91,88,78,75.6,Shortlist
SE-JD1-14,Software Engineer,exact_or_related,Master's,Information Systems,7,Java Developer; Programmer,Java; Spring; SQL; Git; Docker; REST,Scrum Fundamentals; Oracle Java SE 11,Service Spring; Platform Spring,Dharan,112000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,87,79,88,65,81.8,Shortlist
SE-JD1-15,Software Developer,exact_or_related,Bachelor's,Computer Science,10,Backend Engineer; Software Developer,Java; Spring; SQL; Git; Docker; REST; PostgreSQL,PMP (in progress); Oracle Java SE 11,Dashboard Git; Dashboard Git,Hetauda,115000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,83,87,78,63,80.2,Shortlist
SE-JD1-16,Software Developer,exact_or_related,Master's,Information Technology,7,Programmer; Software Developer,Java; Spring; SQL; Git; Docker; REST,Oracle Java SE 11; Docker Certified Associate,System Git; Service Git,Hetauda,110000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,90,70,88,85,84.0,Top Candidate
SE-JD1-17,Software Developer,exact_or_related,Bachelor's,Information Systems,8,Backend Engineer; Java Developer,Java; Spring; SQL; Git; Docker; REST,Oracle Java SE 8; Azure Fundamentals,System Java; System Java,Pokhara,110000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,72,74,78,86,75.5,Shortlist
SE-JD1-18,Backend Engineer,exact_or_related,Bachelor's,Computer Applications,4,Programmer; Java Developer,Java; Spring; SQL; Git; Docker; REST; MySQL,Jenkins (course); Meta Front-End Cert,Gateway Git; API Git,Butwal,94000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,76,58,78,61,69.6,Shortlist
SE-JD1-19,Associate Software Engineer,exact_or_related,Diploma,Computer Applications,1,Software Developer; Programmer,Java; Spring; SQL; Git; Docker; REST,Coursera Full-Stack; Oracle Java SE 11,Platform Spring; Pipeline Spring,Butwal,77000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,67,54,66,70,64.1,Consider
SE-JD1-20,Site Reliability Engineer (SRE),divergent,Bachelor's,Computer Science,1,Software Developer; Associate Software Engineer,Java; Spring; SQL; Git; Docker; REST,Power BI DA-100; WordPress (course),Engine REST; Monitor REST,Hetauda,74000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,72,50,78,63,66.0,Consider
SE-JD1-21,Associate Software Engineer,exact_or_related,Bachelor's,Computer Engineering,10,Software Developer; Associate Software Engineer,Java; Spring; SQL; Git; Docker; REST,Oracle Java SE 8; Jenkins (course),Service Docker; Dashboard Docker,Bharatpur,110000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,71,80,78,77,75.2,Shortlist
SE-JD1-22,API Developer,adjacent,Bachelor's,Information Systems,10,Backend Engineer; Associate Software Engineer,Java; Spring; SQL; Git; Docker; REST; SASS,Meta Front-End Cert; Terraform Associate,Service Docker; Engine Docker,Hetauda,106000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,88,87,78,61,82.2,Top Candidate
SE-JD1-23,Programmer,exact_or_related,Bachelor's,Information Technology,2,Java Developer; Backend Engineer,Java; Spring; SQL; Git; Docker; REST,Google Data Analytics; CKA,System Spring; Engine Spring,Biratnagar,74000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,74,51,78,71,68.4,Shortlist
SE-JD1-24,Software Developer,exact_or_related,Bachelor's,Computer Engineering,10,Associate Software Engineer; Backend Engineer,Java; Spring; SQL; Git; Docker; REST,Azure Fundamentals; AWS CCP,API Docker; Portal Docker,Dharan,107000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,92,90,78,61,84.8,Top Candidate
SE-JD1-25,Associate Software Engineer,exact_or_related,Bachelor's,Information Technology,3,Java Developer; Backend Engineer,Java; Spring; SQL; Git; Docker; REST; NumPy,Jenkins (course); Power BI DA-100,System SQL; Monitor SQL,Dharan,68000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,53,57,78,70,60.3,Consider
SE-JD1-26,Backend Engineer,adjacent,Bachelor's,Electronics and Communication,4,Programmer; Backend Engineer,Java; Spring; SQL; Git; Docker; REST,Docker Certified Associate; CKA,System Git; Service Git,Butwal,95000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,85,60,78,72,75.8,Shortlist
SE-JD1-27,Application Developer,adjacent,Bachelor's,Computer Applications,10,Backend Engineer; Programmer,Java; Spring; SQL; Git; Docker; REST,Oracle Java SE 11; Scrum Fundamentals,Engine Spring; Monitor Spring,Dharan,106000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,80,81,78,75,79.2,Shortlist
SE-JD1-28,Associate Software Engineer,exact_or_related,Bachelor's,Information Technology,9,Software Developer; Java Developer,Java; Spring; SQL; Git; Docker; REST; TypeScript,Scrum Fundamentals; PMP (in progress),Service Git; Engine Git,Bhaktapur,112000,SE-JD1,Software Engineer,Software/Backend,Java; Spring; SQL; Git; Docker; REST,1-3 years,60000-120000,Hire a Software Engineer in Nepal market to deliver production features aligned to business goals.,"Design, build, and maintain production-grade features; Collaborate with cross-functional teams (PM, QA, DevOps); Write clean, testable, and documented code; Participate in code reviews and sprint ceremonies; Monitor, troubleshoot, and improve performance",Experience with cloud platforms (AWS/Azure/GCP); CI/CD exposure (GitHub Actions/Jenkins); Knowledge of security and best practices; Familiarity with Agile/Scrum,Bachelor's in CS/CE/IT or related; Master's preferred for senior roles,Full-time,Nepal (Kathmandu preferred),Software Developer; Backend Engineer; Programmer; Associate Software Engineer; Java Developer,Includes broad score spread and title relations for bias experiments,67,84,78,63,72.3,Shortlist
